datetime,temperature,humidity,wind_speed,pressure,city
2025-12-10 00:00:00,18.9,92,8.2,893.4,Brasilia
2025-12-10 01:00:00,18.9,94,8.5,894.3,Brasilia
2025-12-10 02:00:00,18.8,95,8.4,894.4,Brasilia
2025-12-10 03:00:00,18.8,95,8.4,893.9,Brasilia
2025-12-10 04:00:00,18.8,95,9.3,893.3,Brasilia
2025-12-10 05:00:00,18.6,95,9.7,892.4,Brasilia
2025-12-10 06:00:00,18.6,94,9.1,892.9,Brasilia
2025-12-10 07:00:00,18.5,95,10.0,892.6,Brasilia
2025-12-10 08:00:00,18.4,95,10.0,893.0,Brasilia
2025-12-10 09:00:00,18.3,95,10.1,893.4,Brasilia
2025-12-10 10:00:00,18.5,94,11.5,894.2,Brasilia
2025-12-10 11:00:00,18.9,93,14.3,894.8,Brasilia
2025-12-10 12:00:00,19.7,92,13.7,895.7,Brasilia
2025-12-10 13:00:00,20.0,90,15.1,895.9,Brasilia
2025-12-10 14:00:00,20.7,86,16.1,896.2,Brasilia
2025-12-10 15:00:00,20.6,86,15.8,895.5,Brasilia
2025-12-10 16:00:00,21.0,83,16.8,895.0,Brasilia
2025-12-10 17:00:00,21.5,80,17.7,894.2,Brasilia
2025-12-10 18:00:00,22.5,77,17.1,893.5,Brasilia
2025-12-10 19:00:00,21.8,82,16.6,893.0,Brasilia
2025-12-10 20:00:00,21.8,80,15.1,892.9,Brasilia
2025-12-10 21:00:00,21.0,83,12.9,892.4,Brasilia
2025-12-10 22:00:00,20.1,89,8.3,892.5,Brasilia
2025-12-10 23:00:00,19.6,92,7.1,892.6,Brasilia
2025-12-11 00:00:00,19.8,91,6.4,893.7,Brasilia
2025-12-11 01:00:00,19.4,92,5.6,894.0,Brasilia
2025-12-11 02:00:00,19.2,93,5.6,894.2,Brasilia
2025-12-11 03:00:00,18.9,94,5.4,893.3,Brasilia
2025-12-11 04:00:00,18.7,94,5.4,892.6,Brasilia
2025-12-11 05:00:00,18.5,94,5.6,891.8,Brasilia
2025-12-11 06:00:00,18.6,94,6.6,892.4,Brasilia
2025-12-11 07:00:00,18.5,95,6.4,892.6,Brasilia
2025-12-11 08:00:00,18.5,95,6.5,892.9,Brasilia
2025-12-11 09:00:00,18.6,95,7.1,893.5,Brasilia
2025-12-11 10:00:00,19.6,91,10.1,894.0,Brasilia
2025-12-11 11:00:00,21.1,82,13.0,894.8,Brasilia
2025-12-11 12:00:00,22.9,71,14.3,895.8,Brasilia
2025-12-11 13:00:00,24.3,64,14.3,896.1,Brasilia
2025-12-11 14:00:00,25.3,60,13.6,896.0,Brasilia
2025-12-11 15:00:00,26.1,56,13.3,895.4,Brasilia
2025-12-11 16:00:00,26.5,55,14.3,894.4,Brasilia
2025-12-11 17:00:00,26.6,56,14.8,893.6,Brasilia
2025-12-11 18:00:00,26.5,58,12.4,892.8,Brasilia
2025-12-11 19:00:00,25.9,60,12.2,892.8,Brasilia
2025-12-11 20:00:00,24.5,68,11.6,892.4,Brasilia
2025-12-11 21:00:00,23.4,74,9.2,891.8,Brasilia
2025-12-11 22:00:00,22.2,82,4.3,891.5,Brasilia
2025-12-11 23:00:00,21.3,88,3.6,892.2,Brasilia
2025-12-12 00:00:00,20.8,87,2.6,893.7,Brasilia
2025-12-12 01:00:00,20.4,88,2.3,893.9,Brasilia
2025-12-12 02:00:00,20.2,87,1.6,893.7,Brasilia
2025-12-12 03:00:00,20.2,85,1.8,893.1,Brasilia
2025-12-12 04:00:00,20.0,85,2.5,892.7,Brasilia
2025-12-12 05:00:00,19.6,87,2.6,892.6,Brasilia
2025-12-12 06:00:00,19.5,87,2.7,892.6,Brasilia
2025-12-12 07:00:00,19.2,88,2.6,892.5,Brasilia
2025-12-12 08:00:00,19.0,89,2.6,892.4,Brasilia
2025-12-12 09:00:00,19.0,89,2.3,892.7,Brasilia
