datetime,temperature,humidity,wind_speed,pressure,city
2025-12-12 00:00:00,20.8,87,2.6,893.7,Brasilia
2025-12-12 01:00:00,20.4,88,2.3,893.9,Brasilia
2025-12-12 02:00:00,20.2,87,1.6,893.7,Brasilia
2025-12-12 03:00:00,20.2,85,1.8,893.1,Brasilia
2025-12-12 04:00:00,20.0,85,2.5,892.7,Brasilia
2025-12-12 05:00:00,19.6,87,2.6,892.6,Brasilia
2025-12-12 06:00:00,19.5,87,2.7,892.6,Brasilia
2025-12-12 07:00:00,19.2,88,2.6,892.5,Brasilia
2025-12-12 08:00:00,19.0,89,2.6,892.4,Brasilia
2025-12-12 09:00:00,19.0,89,2.3,892.7,Brasilia
2025-12-12 10:00:00,20.5,88,1.6,893.3,Brasilia
2025-12-12 11:00:00,22.7,77,6.2,894.2,Brasilia
2025-12-12 12:00:00,23.8,68,12.4,894.5,Brasilia
2025-12-12 13:00:00,24.9,61,12.5,894.9,Brasilia
2025-12-12 14:00:00,26.1,57,13.2,894.8,Brasilia
2025-12-12 15:00:00,26.3,57,14.7,894.0,Brasilia
2025-12-12 16:00:00,26.4,59,14.5,893.6,Brasilia
2025-12-12 17:00:00,26.8,60,14.3,892.7,Brasilia
2025-12-12 18:00:00,27.9,54,12.1,892.2,Brasilia
2025-12-12 19:00:00,26.9,59,10.8,891.9,Brasilia
2025-12-12 20:00:00,26.5,58,10.5,891.3,Brasilia
2025-12-12 21:00:00,25.4,62,9.7,890.8,Brasilia
2025-12-12 22:00:00,23.7,73,5.6,890.7,Brasilia
2025-12-12 23:00:00,22.6,80,3.6,891.7,Brasilia
2025-12-13 00:00:00,21.3,86,4.7,892.9,Brasilia
2025-12-13 01:00:00,20.8,87,4.7,893.6,Brasilia
2025-12-13 02:00:00,20.5,88,4.0,894.1,Brasilia
2025-12-13 03:00:00,20.1,89,3.2,893.6,Brasilia
2025-12-13 04:00:00,19.8,90,2.6,893.1,Brasilia
2025-12-13 05:00:00,19.6,91,1.9,892.7,Brasilia
2025-12-13 06:00:00,19.6,90,2.9,892.0,Brasilia
2025-12-13 07:00:00,19.4,91,3.7,892.0,Brasilia
2025-12-13 08:00:00,19.2,91,4.0,892.4,Brasilia
2025-12-13 09:00:00,19.2,91,4.3,893.2,Brasilia
2025-12-13 10:00:00,20.7,87,6.2,894.2,Brasilia
